Date,actual,epidemic_actual,split,baseline,model_ep0,model_ep1,model_ep_actual
2022-12-29,8737.0,0.0,train,,,,
2022-12-30,9192.0,0.0,train,,,,
2022-12-31,8973.0,0.0,train,,,,
2023-01-01,9668.0,0.0,train,,,,
2023-01-02,10665.0,0.0,train,,,,
2023-01-03,10070.0,0.0,train,,,,
2023-01-04,9331.0,0.0,train,,,,
2023-01-05,8963.0,0.0,train,,,,
2023-01-06,9324.0,0.0,train,,,,
2023-01-07,9540.0,0.0,train,,,,
2023-01-08,9892.0,0.0,train,,,,
2023-01-09,9082.0,0.0,train,,,,
2023-01-10,10231.0,0.0,train,,,,
2023-01-11,10022.0,0.0,train,,,,
2023-01-12,9235.0,0.0,train,,,,
2023-01-13,10113.0,0.0,train,,,,
2023-01-14,9583.0,0.0,train,,,,
2023-01-15,9309.0,0.0,train,,,,
2023-01-16,9644.0,0.0,train,,,,
2023-01-17,9756.0,0.0,train,,,,
2023-01-18,10303.0,0.0,train,,,,
2023-01-19,10117.0,0.0,train,,,,
2023-01-20,10730.0,0.0,train,,,,
2023-01-21,9396.0,0.0,train,,,,
2023-01-22,10261.0,0.0,train,,,,
2023-01-23,10122.0,0.0,train,,,,
2023-01-24,9351.0,0.0,train,,,,
2023-01-25,9655.0,0.0,train,,,,
2023-01-26,9345.0,0.0,train,,,,
2023-01-27,8473.0,0.0,train,,,,
2023-01-28,9170.0,0.0,train,,,,
2023-01-29,5636.0,1.0,train,,,,
2023-01-30,5981.0,1.0,train,,,,
2023-01-31,5583.0,1.0,train,,,,
2023-02-01,6110.0,1.0,train,,,,
2023-02-02,6197.0,1.0,train,,,,
2023-02-03,6273.0,1.0,train,,,,
2023-02-04,6829.0,1.0,train,,,,
2023-02-05,6373.0,1.0,train,,,,
2023-02-06,6092.0,1.0,train,,,,
2023-02-07,5750.0,1.0,train,,,,
2023-02-08,5575.0,1.0,train,,,,
2023-02-09,6736.0,1.0,train,,,,
2023-02-10,6493.0,1.0,train,,,,
2023-02-11,5658.0,1.0,train,,,,
2023-02-12,6121.0,1.0,train,,,,
2023-02-13,6193.0,1.0,train,,,,
2023-02-14,6457.0,1.0,train,,,,
2023-02-15,6522.0,1.0,train,,,,
2023-02-16,5862.0,1.0,train,,,,
2023-02-17,6158.0,1.0,train,,,,
2023-02-18,6283.0,1.0,train,,,,
2023-02-19,6724.0,1.0,train,,,,
2023-02-20,5991.0,1.0,train,,,,
2023-02-21,5550.0,1.0,train,,,,
2023-02-22,6155.0,1.0,train,,,,
2023-02-23,6046.0,1.0,train,,,,
2023-02-24,6675.0,1.0,train,,,,
2023-02-25,5774.0,1.0,train,,,,
2023-02-26,6008.0,1.0,train,,,,
2023-02-27,6668.0,1.0,train,,,,
2023-02-28,5974.0,1.0,train,,,,
2023-03-01,9126.0,0.0,train,,,,
2023-03-02,9101.0,0.0,train,,,,
